Date,Close,Mean,Median,Up/Down,Gain%/Loss%
1960-01-04,679.06,0,0,0,0
1960-01-05,685.47,682.26,682.26,6.41,0.94
1960-01-06,682.62,682.38,682.62,-2.85,-0.42
1960-01-07,677.66,681.2,680.84,-4.96,-0.73
1960-01-08,675.73,680.11,679.06,-1.93,-0.28
1960-01-11,667.16,677.95,678.36,-8.57,-1.27
1960-01-12,660.43,675.45,677.66,-6.73,-1.01
1960-01-13,656.44,673.07,676.69,-3.99,-0.6
1960-01-14,660.53,671.68,675.73,4.09,0.62
1960-01-15,659.68,670.48,671.44,-0.85,-0.13
1960-01-18,653.86,668.97,667.16,-5.82,-0.88
1960-01-19,645.07,666.98,663.85,-8.79,-1.34
1960-01-20,643.69,665.18,660.53,-1.38,-0.21
1960-01-21,645.43,663.77,660.48,1.74,0.27
1960-01-22,645.85,662.58,660.43,0.42,0.07
1960-01-25,639.07,661.11,660.05,-6.78,-1.05
1960-01-26,639.84,659.86,659.68,0.77,0.12
1960-01-27,637.67,658.63,658.06,-2.17,-0.34
1960-01-28,629.84,657.11,656.44,-7.83,-1.23
1960-01-29,622.62,655.39,655.15,-7.22,-1.15
1960-02-01,626.2,654.0,653.86,3.58,0.57
1960-02-02,636.92,653.22,649.86,10.72,1.71
1960-02-03,630.97,652.25,645.85,-5.95,-0.93
1960-02-04,631.14,651.37,645.64,0.17,0.03
1960-02-05,626.77,650.39,645.43,-4.37,-0.69
1960-02-08,619.43,649.2,645.25,-7.34,-1.17
1960-02-09,628.45,648.43,645.07,9.02,1.46
1960-02-10,623.36,647.53,644.38,-5.09,-0.81
1960-02-11,618.57,646.54,643.69,-4.79,-0.77
1960-02-12,622.23,645.73,641.77,3.66,0.59
1960-02-15,617.58,644.82,639.84,-4.65,-0.75
1960-02-16,611.33,643.77,639.46,-6.25,-1.01
1960-02-17,613.55,642.86,639.07,2.22,0.36
1960-02-18,622.19,642.25,638.37,8.64,1.41
1960-02-19,628.45,641.85,637.67,6.26,1.01
1960-02-23,626.19,641.42,637.29,-2.26,-0.36
1960-02-24,623.73,640.94,636.92,-2.46,-0.39
1960-02-25,628.51,640.61,634.03,4.78,0.77
1960-02-26,632.0,640.39,632.0,3.49,0.56
1960-02-29,630.12,640.14,631.57,-1.88,-0.3
1960-03-01,626.87,639.81,631.14,-3.25,-0.52
1960-03-02,621.37,639.37,631.06,-5.5,-0.88
1960-03-03,612.05,638.74,630.97,-9.32,-1.5
1960-03-04,609.79,638.08,630.55,-2.26,-0.37
1960-03-07,604.02,637.32,630.12,-5.77,-0.95
1960-03-08,599.1,636.49,629.98,-4.92,-0.81
1960-03-09,607.16,635.87,629.84,8.06,1.35
1960-03-10,602.31,635.17,629.17,-4.85,-0.8
1960-03-11,605.83,634.57,628.51,3.52,0.58
1960-03-14,606.79,634.01,628.48,0.96,0.16
1960-03-15,612.18,633.59,628.45,5.39,0.89
1960-03-16,616.73,633.26,628.45,4.55,0.74
1960-03-17,615.09,632.92,628.45,-1.64,-0.27
1960-03-18,616.42,632.61,627.66,1.33,0.22
1960-03-21,617.0,632.33,626.87,0.58,0.09
1960-03-22,618.09,632.08,626.82,1.09,0.18
1960-03-23,622.06,631.9,626.77,3.97,0.64
1960-03-24,624.0,631.76,626.49,1.94,0.31
1960-03-25,622.47,631.61,626.2,-1.53,-0.25
1960-03-28,621.78,631.44,626.2,-0.69,-0.11
1960-03-29,620.35,631.26,626.19,-1.43,-0.23
1960-03-30,619.94,631.08,625.1,-0.41,-0.07
1960-03-31,616.59,630.85,624.0,-3.35,-0.54
1960-04-01,615.98,630.62,623.87,-0.61,-0.1
1960-04-04,618.54,630.43,623.73,2.56,0.42
1960-04-05,622.19,630.3,623.55,3.65,0.59
1960-04-06,628.31,630.27,623.73,6.12,0.98
1960-04-07,629.03,630.26,623.87,0.72,0.11
1960-04-08,628.1,630.23,624.0,-0.93,-0.15
1960-04-11,624.89,630.15,624.44,-3.21,-0.51
1960-04-12,626.5,630.1,624.89,1.61,0.26
1960-04-13,626.5,630.05,625.54,0.0,0.0
1960-04-14,630.12,630.05,626.19,3.62,0.58
1960-04-18,630.77,630.06,626.2,0.65,0.1
1960-04-19,626.4,630.01,626.2,-4.37,-0.69
1960-04-20,618.71,629.86,626.2,-7.69,-1.23
1960-04-21,619.15,629.72,626.19,0.44,0.07
1960-04-22,616.32,629.55,625.54,-2.83,-0.46
1960-04-25,611.13,629.32,624.89,-5.19,-0.84
1960-04-26,610.92,629.09,624.44,-0.21,-0.03
1960-04-27,609.96,628.85,624.0,-0.96,-0.16
1960-04-28,604.33,628.55,623.87,-5.63,-0.92
1960-04-29,601.7,628.23,623.73,-2.63,-0.44
1960-05-02,599.61,627.89,623.55,-2.09,-0.35
1960-05-03,607.73,627.65,623.36,8.12,1.35
1960-05-04,610.99,627.46,622.99,3.26,0.54
1960-05-05,608.32,627.24,622.62,-2.67,-0.44
1960-05-06,607.62,627.01,622.55,-0.7,-0.12
1960-05-09,607.48,626.79,622.47,-0.14,-0.02
1960-05-10,604.82,626.55,622.35,-2.66,-0.44
1960-05-11,606.54,626.33,622.23,1.72,0.28
1960-05-12,607.87,626.13,622.21,1.33,0.22
1960-05-13,616.03,626.02,622.19,8.16,1.34
1960-05-16,617.39,625.93,622.19,1.36,0.22
1960-05-17,621.63,625.88,622.19,4.24,0.69
1960-05-18,623.0,625.85,622.19,1.37,0.22
1960-05-19,624.68,625.84,622.19,1.68,0.27
1960-05-20,625.24,625.84,622.21,0.56,0.09
1960-05-23,623.66,625.81,622.23,-1.58,-0.25
1960-05-24,621.39,625.77,622.21,-2.27,-0.36
1960-05-25,621.28,625.73,622.19,-0.11,-0.02
1960-05-26,622.79,625.7,622.21,1.51,0.24
1960-05-27,624.78,625.69,622.23,1.99,0.32
1960-05-31,625.5,625.69,622.35,0.72,0.12
1960-06-01,624.89,625.68,622.47,-0.61,-0.1
1960-06-02,627.87,625.7,622.55,2.98,0.48
1960-06-03,628.98,625.73,622.62,1.11,0.18
1960-06-06,636.92,625.83,622.7,7.94,1.26
1960-06-07,645.58,626.01,622.79,8.66,1.36
1960-06-08,650.35,626.24,622.89,4.77,0.74
1960-06-09,656.42,626.51,623.0,6.07,0.93
1960-06-10,654.88,626.76,623.18,-1.54,-0.23
1960-06-13,655.85,627.02,623.36,0.97,0.15
1960-06-14,654.88,627.26,623.51,-0.97,-0.15
1960-06-15,649.42,627.46,623.66,-5.46,-0.83
1960-06-16,648.27,627.63,623.69,-1.15,-0.18
1960-06-17,650.89,627.83,623.73,2.62,0.4
1960-06-20,647.52,628.0,623.87,-3.37,-0.52
1960-06-21,644.93,628.14,624.0,-2.59,-0.4
1960-06-22,645.36,628.29,624.34,0.43,0.07
1960-06-23,647.41,628.44,624.68,2.05,0.32
1960-06-24,647.01,628.6,624.73,-0.4,-0.06
1960-06-27,642.49,628.71,624.78,-4.52,-0.7
1960-06-28,637.46,628.78,624.84,-5.03,-0.78
1960-06-29,638.39,628.86,624.89,0.93,0.15
1960-06-30,640.62,628.95,624.89,2.23,0.35
1960-07-01,641.3,629.05,624.89,0.68,0.11
1960-07-05,640.91,629.14,625.07,-0.39,-0.06
1960-07-06,640.37,629.23,625.24,-0.54,-0.08
1960-07-07,644.89,629.35,625.37,4.52,0.71
1960-07-08,646.91,629.48,625.5,2.02,0.31
1960-07-11,640.44,629.56,625.85,-6.47,-1.0
1960-07-12,634.12,629.6,626.19,-6.32,-0.99
1960-07-13,632.11,629.62,626.2,-2.01,-0.32
1960-07-14,631.32,629.63,626.2,-0.79,-0.12
1960-07-15,630.24,629.63,626.3,-1.08,-0.17
1960-07-18,626.0,629.61,626.2,-4.24,-0.67
1960-07-19,624.78,629.57,626.2,-1.22,-0.19
1960-07-20,624.13,629.53,626.19,-0.65,-0.1
1960-07-21,616.63,629.44,626.1,-7.5,-1.2
1960-07-22,609.87,629.3,626.0,-6.76,-1.1
1960-07-25,601.68,629.11,625.75,-8.19,-1.34
1960-07-26,606.75,628.95,625.5,5.07,0.84
1960-07-27,601.76,628.76,625.37,-4.99,-0.82
1960-07-28,605.67,628.6,625.24,3.91,0.65
1960-07-29,616.73,628.52,625.07,11.06,1.83
1960-08-01,617.85,628.45,624.89,1.12,0.18
1960-08-02,613.68,628.35,624.89,-4.17,-0.67
1960-08-03,608.69,628.22,624.89,-4.99,-0.81
1960-08-04,609.23,628.09,624.84,0.54,0.09
1960-08-05,614.29,628.0,624.78,5.06,0.83
1960-08-08,614.79,627.91,624.78,0.5,0.08
1960-08-09,615.69,627.83,624.78,0.9,0.15
1960-08-10,617.52,627.77,624.73,1.83,0.3
1960-08-11,622.88,627.73,624.68,5.36,0.87
1960-08-12,626.18,627.72,624.73,3.3,0.53
1960-08-15,624.17,627.7,624.68,-2.01,-0.32
1960-08-16,625.43,627.69,624.73,1.26,0.2
1960-08-17,626.54,627.68,624.78,1.11,0.18
1960-08-18,625.82,627.67,624.78,-0.72,-0.11
1960-08-19,629.27,627.68,624.78,3.45,0.55
1960-08-22,630.71,627.7,624.84,1.44,0.23
1960-08-23,638.29,627.76,624.89,7.58,1.2
1960-08-24,641.56,627.85,624.89,3.27,0.51
1960-08-25,637.16,627.9,624.89,-4.4,-0.69
1960-08-26,636.13,627.95,625.07,-1.03,-0.16
1960-08-29,634.46,627.99,625.24,-1.67,-0.26
1960-08-30,626.4,627.98,625.34,-8.06,-1.27
1960-08-31,625.99,627.97,625.43,-0.41,-0.07
1960-09-01,626.1,627.96,625.46,0.11,0.02
1960-09-02,625.22,627.94,625.43,-0.88,-0.14
1960-09-06,620.85,627.9,625.34,-4.37,-0.7
1960-09-07,612.27,627.81,625.24,-8.58,-1.38
1960-09-08,611.42,627.72,625.23,-0.85,-0.14
1960-09-09,614.12,627.64,625.22,2.7,0.44
1960-09-12,609.35,627.54,625.06,-4.77,-0.78
1960-09-13,611.79,627.45,624.89,2.44,0.4
1960-09-14,605.69,627.32,624.89,-6.1,-1.0
1960-09-15,602.69,627.19,624.89,-3.0,-0.5
1960-09-16,602.18,627.05,624.84,-0.51,-0.08
1960-09-19,586.76,626.83,624.78,-15.42,-2.56
1960-09-20,588.2,626.61,624.78,1.44,0.25
1960-09-21,594.26,626.44,624.78,6.06,1.03
1960-09-22,592.15,626.25,624.73,-2.11,-0.36
1960-09-23,585.2,626.03,624.68,-6.95,-1.17
1960-09-26,577.14,625.77,624.42,-8.06,-1.38
1960-09-27,574.81,625.49,624.17,-2.33,-0.4
1960-09-28,569.08,625.19,624.15,-5.73,-1.0
1960-09-29,570.59,624.9,624.13,1.51,0.27
1960-09-30,580.14,624.67,624.07,9.55,1.67
1960-10-03,577.81,624.42,624.0,-2.33,-0.4
1960-10-04,573.15,624.16,623.87,-4.66,-0.81
1960-10-05,578.88,623.92,623.73,5.73,1.0
1960-10-06,583.69,623.71,623.69,4.81,0.83
1960-10-07,586.42,623.52,623.66,2.73,0.47
1960-10-10,587.31,623.34,623.51,0.89,0.15
1960-10-11,588.75,623.16,623.36,1.44,0.25
1960-10-12,585.83,622.97,623.18,-2.92,-0.5
1960-10-13,591.49,622.82,623.0,5.66,0.97
1960-10-14,596.48,622.68,622.94,4.99,0.84
1960-10-17,593.34,622.54,622.88,-3.14,-0.53
1960-10-18,588.75,622.37,622.84,-4.59,-0.77
1960-10-19,587.01,622.2,622.79,-1.74,-0.3
1960-10-20,582.69,622.0,622.7,-4.32,-0.74
1960-10-21,577.55,621.79,622.62,-5.14,-0.88
1960-10-24,571.93,621.54,622.55,-5.62,-0.97
1960-10-25,566.05,621.28,622.47,-5.88,-1.03
1960-10-26,575.18,621.05,622.35,9.13,1.61
1960-10-27,580.95,620.86,622.23,5.77,1.0
1960-10-28,577.92,620.66,622.21,-3.03,-0.52
1960-10-31,580.36,620.47,622.19,2.44,0.42
1960-11-01,585.24,620.3,622.19,4.88,0.84
1960-11-02,588.23,620.15,622.19,2.99,0.51
1960-11-03,590.82,620.01,622.12,2.59,0.44
1960-11-04,596.07,619.9,622.06,5.25,0.89
1960-11-07,597.63,619.8,621.92,1.56,0.26
1960-11-09,602.25,619.72,621.78,4.62,0.77
1960-11-10,612.01,619.68,621.7,9.76,1.62
1960-11-11,608.61,619.63,621.63,-3.4,-0.56
1960-11-14,604.8,619.56,621.51,-3.81,-0.63
1960-11-15,606.87,619.51,621.39,2.07,0.34
1960-11-16,604.77,619.44,621.38,-2.1,-0.35
1960-11-17,602.18,619.36,621.37,-2.59,-0.43
1960-11-18,603.62,619.29,621.33,1.44,0.24
1960-11-21,604.54,619.23,621.28,0.92,0.15
1960-11-22,601.1,619.15,621.07,-3.44,-0.57
1960-11-23,602.47,619.07,620.85,1.37,0.23
1960-11-25,606.47,619.02,620.6,4.0,0.66
1960-11-28,605.43,618.96,620.35,-1.04,-0.17
1960-11-29,602.4,618.89,620.14,-3.03,-0.5
1960-11-30,597.22,618.79,619.94,-5.18,-0.86
1960-12-01,594.56,618.69,619.68,-2.66,-0.45
1960-12-02,596.0,618.59,619.43,1.44,0.24
1960-12-05,593.49,618.48,619.29,-2.51,-0.42
1960-12-06,597.11,618.39,619.15,3.62,0.61
1960-12-07,604.62,618.34,618.93,7.51,1.26
1960-12-08,605.17,618.28,618.71,0.55,0.09
1960-12-09,610.9,618.25,618.64,5.73,0.95
1960-12-12,611.94,618.22,618.57,1.04,0.17
1960-12-13,611.72,618.2,618.56,-0.22,-0.04
1960-12-14,612.68,618.17,618.54,0.96,0.16
1960-12-15,610.76,618.14,618.32,-1.92,-0.31
1960-12-16,617.78,618.14,618.09,7.02,1.15
1960-12-19,615.56,618.13,617.97,-2.22,-0.36
1960-12-20,614.82,618.12,617.85,-0.74,-0.12
1960-12-21,615.42,618.11,617.82,0.6,0.1
1960-12-22,613.31,618.09,617.78,-2.11,-0.34
1960-12-23,613.23,618.07,617.68,-0.08,-0.01
1960-12-27,613.38,618.05,617.58,0.15,0.02
1960-12-28,615.75,618.04,617.55,2.37,0.39
1960-12-29,616.19,618.03,617.52,0.44,0.07
1960-12-30,615.89,618.02,617.45,-0.3,-0.05
1961-01-03,610.25,617.99,617.39,-5.64,-0.92
1961-01-04,621.49,618.01,617.45,11.24,1.84
1961-01-05,622.67,618.02,617.52,1.18,0.19
1961-01-06,621.64,618.04,617.55,-1.03,-0.17
1961-01-09,624.42,618.06,617.58,2.78,0.45
1961-01-10,625.72,618.09,617.68,1.3,0.21
1961-01-11,627.21,618.13,617.78,1.49,0.24
1961-01-12,628.5,618.17,617.82,1.29,0.21
1961-01-13,633.65,618.23,617.85,5.15,0.82
1961-01-16,633.19,618.28,617.97,-0.46,-0.07
1961-01-17,628.96,618.32,618.09,-4.23,-0.67
1961-01-18,634.1,618.38,618.32,5.14,0.82
1961-01-19,632.39,618.44,618.54,-1.71,-0.27
1961-01-20,634.37,618.5,618.56,1.98,0.31
